"alternative","price_mean","price_sd","price_median","feature_mean","feature_sd","feature_median","display_mean","display_sd","display_median","loyalty_mean","loyalty_sd","loyalty_median"
1,0.135378280616388,0.0111027977978813,0.1438889,0.0293189794550258,0.168700735148181,0,0,0,0,0.0738790961788714,0.261576612869916,0
2,0.125268056557834,0.0105207444985982,0.1211111,0.0281162506407981,0.165306581475149,0,0.0112188966441894,0.105324506770443,0,0.151425529397847,0.358466695844449,0
3,0.132443932976416,0.0065401038608674,0.1325,0.0404787255017942,0.197081110473986,0,0.0303048227453764,0.171426427028323,0,0.0764422887337829,0.265707089184234,0
4,0.151741972771003,0.0127405228424873,0.153125,0.0546945857486494,0.227385372179883,0,0.00577704168145432,0.0757877346292046,0,0.0858866674553413,0.280199385819022,0
5,0.130442019139141,0.009141184477101,0.1294444,0.0930438897432864,0.290496795506111,0,0,0,0,0.118005441854963,0.322617745517043,0
6,0.133229282197627,0.00666111264924719,0.1332143,0.0343073465041997,0.182019245465062,0,0.00270121061556055,0.0519034410550827,0,0.0634094404353484,0.243700337055244,0
7,0.134038637505395,0.0108634424165055,0.1322222,0.0548917544067195,0.22777109695804,0,0,0,0,0.172522575811349,0.377837731643009,0
8,0.138097756563733,0.00693278888302665,0.1425,0.0111597460467684,0.105049624934646,0,0,0,0,0.0436728577625301,0.20436820388488,0
9,0,0,0,0,0,0,0,0,0,0,0,0
