"Components","Posterior Log-Likelihood","Trimmed Posterior Log-Likelihood"
1,-12495.4862432585,-12457.5150619854
2,-12446.2067449233,-12420.1543287135
3,-12399.3165926997,-12363.7117754143
4,-12400.3056945899,-12359.9476252198
5,-12436.2895869651,-12379.3707033413
