"Components","Posterior Log-Likelihood","Trimmed Posterior Log-Likelihood"
1,-12455.395369701,-12402.8629787123
2,-12425.3506330042,-12381.89440974
3,-12374.7912552369,-12328.2477662414
4,-12424.5198311348,-12379.61322955
5,-12338.0892679727,-12301.8157247985
